onset,duration,trial_type
1733262461.189,0.5,miss
1733262461.971,0.5,miss
1733262463.249,0.5,miss
1733262464.528,0.5,hit
1733262466.313,0.5,hit
1733262468.094,0.5,correct rejection
1733262468.868,0.5,miss
1733262470.399,0.5,false alarm
1733262471.935,0.5,hit
1733262472.964,0.5,correct rejection
1733262473.99,0.5,correct rejection
1733262475.269,0.5,hit
1733262477.05,0.5,hit
1733262478.333,0.5,hit
1733262479.616,0.5,hit
1733262480.65,0.5,hit
1733262482.181,0.5,hit
1733262483.716,0.5,false alarm
1733262485.249,0.5,hit
1733262486.283,0.5,hit
1733262487.565,0.5,correct rejection
1733262488.59,0.5,hit
1733262490.374,0.5,hit
1733262491.905,0.5,hit
1733262493.191,0.5,hit
1733262494.722,0.5,correct rejection
1733262495.527,0.5,correct rejection
1733262496.312,0.5,correct rejection
1733262497.839,0.5,hit
1733262499.121,0.5,hit
1733262500.405,0.5,hit
1733262501.937,0.5,correct rejection
1733262503.221,0.5,hit
1733262505.004,0.5,miss
