onset,duration,trial_type
1733262987.019,0.5,hit
1733262987.803,0.5,hit
1733262989.08,0.5,hit
1733262990.359,0.5,hit
1733262992.142,0.5,hit
1733262993.922,0.5,correct rejection
1733262994.702,0.5,hit
1733262996.236,0.5,false alarm
1733262997.768,0.5,hit
1733262998.803,0.5,correct rejection
1733262999.827,0.5,correct rejection
1733263001.107,0.5,miss
1733263002.893,0.5,miss
1733263004.171,0.5,hit
1733263005.452,0.5,hit
1733263006.479,0.5,hit
1733263008.011,0.5,hit
1733263009.54,0.5,correct rejection
1733263011.071,0.5,hit
1733263012.104,0.5,hit
1733263013.394,0.5,correct rejection
1733263014.429,0.5,miss
