onset,duration,trial_type
0.0,30.0,rest
30.0,0.5,correct_rejection
30.75,0.5,miss
32.0,0.5,miss
33.25,0.5,hit
35.0,0.5,hit
36.75,0.5,miss
37.5,0.5,correct_rejection
39.0,0.5,hit
40.5,0.5,hit
41.5,0.5,hit
42.5,0.5,correct_rejection
43.75,0.5,hit
45.5,0.5,hit
46.75,0.5,hit
48.0,0.5,hit
49.0,0.5,miss
50.5,0.5,correct_rejection
52.0,0.5,hit
53.5,0.5,hit
54.5,0.5,hit
55.75,0.5,hit
56.75,0.5,hit
58.5,0.5,hit
60.0,0.5,hit
61.25,0.5,hit
62.75,0.5,correct_rejection
63.5,0.5,hit
64.25,0.5,hit
65.75,0.5,correct_rejection
67.0,0.5,hit
68.25,0.5,miss
69.75,0.5,hit
71.0,0.5,miss
72.75,0.5,hit
74.25,0.5,hit
76.0,0.5,correct_rejection
76.75,0.5,hit
77.75,0.5,hit
78.5,0.5,correct_rejection
79.5,0.5,hit
81.0,0.5,hit
82.0,0.5,hit
82.75,0.5,hit
84.0,0.5,hit
85.0,0.5,correct_rejection
86.25,0.5,hit
88.0,0.5,hit
89.0,0.5,hit
90.75,0.5,correct_rejection
92.25,0.5,hit
93.0,0.5,hit
94.75,0.5,hit
96.5,0.5,hit
97.75,0.5,hit
98.75,0.5,miss
99.75,0.5,hit
100.5,0.5,hit
101.25,0.5,hit
103.0,0.5,hit
104.25,0.5,correct_rejection
105.0,0.5,hit
106.0,0.5,hit
107.75,0.5,hit
109.25,0.5,hit
110.5,0.5,correct_rejection
112.0,0.5,hit
113.0,0.5,correct_rejection
113.75,0.5,hit
115.0,0.5,hit
116.75,0.5,miss
117.75,0.5,miss
118.5,0.5,hit
120.0,0.5,correct_rejection
120.75,0.5,hit
121.5,0.5,hit
122.25,0.5,correct_rejection
124.0,0.5,hit
125.0,0.5,correct_rejection
125.75,0.5,hit
127.5,0.5,miss
128.75,0.5,hit
129.5,0.5,hit
131.0,0.5,hit
132.25,0.5,correct_rejection
133.25,0.5,hit
134.75,0.5,hit
136.5,0.5,hit
137.75,0.5,hit
139.0,0.5,hit
139.75,0.5,hit
141.0,0.5,hit
142.5,0.5,hit
143.75,0.5,hit
145.5,0.5,hit
146.5,0.5,hit
148.0,0.5,hit
149.5,0.5,correct_rejection
150.5,0.5,hit
152.0,0.5,miss
153.0,0.5,hit
154.5,0.5,correct_rejection
156.0,0.5,hit
157.0,0.5,correct_rejection
158.25,0.5,correct_rejection
159.0,0.5,hit
160.75,0.5,miss
162.5,0.5,hit
164.0,0.5,hit
165.0,0.5,hit
165.75,0.5,hit
166.75,0.5,hit
167.5,0.5,correct_rejection
169.0,0.5,hit
169.75,0.5,hit
171.5,0.5,miss
172.25,0.5,false_alarm
173.25,0.5,correct_rejection
174.25,0.5,hit
175.25,0.5,hit
177.0,0.5,hit
178.75,0.5,correct_rejection
179.75,0.5,hit
181.25,0.5,hit
182.75,0.5,hit
184.5,0.5,hit
186.25,0.5,hit
187.0,0.5,hit
188.75,0.5,hit
190.0,0.5,hit
191.0,0.5,hit
192.0,0.5,correct_rejection
193.75,0.5,hit
194.75,0.5,hit
196.5,0.5,miss
197.5,0.5,hit
198.5,0.5,hit
199.75,0.5,hit
201.5,0.5,hit
202.25,0.5,hit
203.25,0.5,correct_rejection
204.5,0.5,hit
205.5,0.5,correct_rejection
206.75,0.5,hit
208.5,0.5,correct_rejection
209.25,0.5,miss
211.0,0.5,hit
211.75,0.5,false_alarm
213.25,0.5,correct_rejection
215.0,0.5,hit
216.75,0.5,miss
218.0,0.5,correct_rejection
218.75,0.5,hit
220.5,0.5,hit
221.25,0.5,hit
222.0,0.5,hit
222.75,0.5,hit
223.75,0.5,hit
225.5,0.5,hit
226.5,0.5,hit
227.75,0.5,hit
228.5,0.5,correct_rejection
229.75,0.5,correct_rejection
231.25,0.5,hit
232.25,0.5,hit
234.0,0.5,miss
234.75,0.5,hit
235.75,0.5,hit
236.5,0.5,hit
237.25,0.5,correct_rejection
238.25,0.5,hit
239.75,0.5,hit
241.25,0.5,hit
242.75,0.5,miss
244.5,0.5,false_alarm
245.75,0.5,hit
247.25,0.5,hit
248.5,0.5,hit
249.75,0.5,hit
251.25,0.5,hit
252.75,0.5,hit
253.75,0.5,hit
255.5,0.5,false_alarm
256.75,0.5,hit
258.25,0.5,hit
259.75,0.5,hit
261.25,0.5,hit
263.0,0.5,hit
264.75,0.5,hit
266.0,0.5,correct_rejection
267.75,0.5,hit
269.5,0.5,hit
270.5,0.5,hit
271.75,30.0,rest
